gcc -fopenmp -c src/main.c
gcc -fopenmp -c src/parallel_tasks.c
gcc -fopenmp -c src/utilities.c
gcc -fopenmp -lm -g -o schooling main.o parallel_tasks.o utilities.o
rm -f *.o
Fish #	x	y	w
875	-32.44	92.70	71.76
876	76.77	59.24	67.70
877	-80.81	63.20	70.12
878	77.37	47.28	75.10
879	48.70	45.10	73.33
880	46.25	30.26	67.81
881	22.89	98.72	70.21
882	60.06	40.67	73.67
883	35.73	69.52	73.33
884	65.70	77.95	76.34
885	-75.90	-42.19	74.31
886	14.31	69.01	71.51
887	-98.84	37.42	71.56
888	-62.06	11.07	75.26
889	-19.25	-76.65	72.84
890	-19.17	46.32	69.41
891	-84.35	-44.20	74.52
892	5.35	-65.96	71.64
893	-79.40	-16.08	74.78
894	81.52	68.11	71.48
895	-71.18	25.76	74.21
896	-0.23	51.52	73.36
897	25.28	-41.18	73.77
898	-7.41	-39.79	70.58
899	-71.86	-43.11	70.47
900	-59.44	-49.56	71.03
901	15.70	54.67	70.95
902	-80.15	16.86	73.57
903	-8.30	-42.61	72.49
